city,_housing_status,_subcategory,_categorized_address_data,_source,arrests
Portland,unhoused,incarceration,260 SW ADAMS AVE,https://dignityvillage.org/,
Portland,unhoused,incarceration,1120 SW 3RD AVE,,
Portland,unhoused,emergency shelter,111 E BURNSIDE ST,https://www.streetroots.org/contact,
Portland,unhoused,social service,9401 NE SUNDERLAND AVE,http://www.homeforward.org/find-a-home/get-an-apartment/fountain-place,
Portland,unhoused,social service,2941 NE AINSWORTH ST,,
Portland,unhoused,social service,5120 SE MILWAUKIE AVE,,
Portland,unhoused,social service,475 NW GLISAN ST,https://www.tprojects.org/sites/default/files/2020-05/FAQ%20Clark%20Center%20May%202020.pdf,
Portland,unhoused,social service,627 NW 18TH AVE,http://www.homeforward.org/find-a-home/get-an-apartment/yards-union-station,
Portland,unhoused,social service,8800 SE 80TH AVE,https://www.oregonmetro.gov/sites/default/files/2018/12/12/EastBurnsideApartments.pdf,
Portland,unhoused,social service,211 NW DAVIS ST,http://innovativehousinginc.com/housing/musolf.html,
Portland,unhoused,social service,310 NW FLANDERS ST,https://npiprofile.com/npi/1962589259,
Portland,unhoused,social service,665 NW HOYT ST,https://www.eastonridgeapts.com/,
Portland,unhoused,corrections,421 SW 5TH AVE,https://www.pearmentor.org/,
Portland,unhoused,social service,314 SW 9TH AVE,https://multco.us/sites/default/files/health/documents/community_resource_list.pdf,
Portland,unhoused,social service,650 NW HOYT ST,http://www.homeforward.org/find-a-home/get-an-apartment/martha-washington,
Portland,unhoused,social service,338 NW 6TH AVE,https://multco.us/sites/default/files/health/documents/community_resource_list.pdf,
Portland,unhoused,social service,1132 SW 13TH AVE,https://outsidein.org/about-us/contact-us/,
Portland,unhoused,social service,1435 NE 81ST AVE,http://www.homeforward.org/sites/default/files/The-Directory_BW_1.pdf,
Portland,unhoused,emergency shelter,111 W BURNSIDE ST,https://www.streetroots.org/contact,
Portland,unhoused,social service,650 NW IRVING ST,https://centralcityconcern.org/housing-location/miracles-central/,
